act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
1,3,A heath.,Cousins,PERSON,"People, including fictional",5422,5429
1,3,A heath.,Two,CARDINAL,Numerals that do not fall under another type,5467,5470
1,3,A heath.,Thane,PERSON,"People, including fictional",5719,5724
1,3,A heath.,Shakes,PERSON,"People, including fictional",5986,5992
1,3,A heath.,Time,ORG,"Companies, agencies, institutions, etc.",6364,6368
1,3,A heath.,the roughest day,DATE,Absolute or relative dates or periods,6395,6411
1,3,A heath.,Worthy Macbeth,PERSON,"People, including fictional",6421,6435
1,3,A heath.,enough.—Come,CARDINAL,Numerals that do not fall under another type,6820,6832
1,4,Forres. A Room in the Palace.,Duncan,PERSON,"People, including fictional",16,22
1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional",24,31
1,4,Forres. A Room in the Palace.,Donalbain,PERSON,"People, including fictional",33,42
1,4,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional",44,50
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",67,73
1,4,Forres. A Room in the Palace.,return'd,ORG,"Companies, agencies, institutions, etc.",136,144
1,4,Forres. A Room in the Palace.,MALCOLM,PERSON,"People, including fictional",146,153
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",535,541
1,4,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional",680,684
1,4,Forres. A Room in the Palace.,Angus,PERSON,"People, including fictional",689,694
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",1290,1296
1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",1394,1400
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",1569,1575
1,4,Forres. A Room in the Palace.,Wanton,GPE,"Countries, cities, states",1596,1602
1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional",1772,1779
1,4,Forres. A Room in the Palace.,Cumberland,LOC,"Non-GPE locations, mountain ranges, bodies of water",1818,1828
1,4,Forres. A Room in the Palace.,Inverness,GPE,"Countries, cities, states",1963,1972
1,4,Forres. A Room in the Palace.,us'd,ORG,"Companies, agencies, institutions, etc.",2044,2048
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",2173,2179
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",2488,2494
1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",2509,2515
1,5,Inverness. A Room in Macbeth's Castle.,Lady Macbeth,PERSON,"People, including fictional",6,18
1,5,Inverness. A Room in Macbeth's Castle.,the day,DATE,Absolute or relative dates or periods,68,75
1,5,Inverness. A Room in Macbeth's Castle.,might'st,PERSON,"People, including fictional",604,612
1,5,Inverness. A Room in Macbeth's Castle.,Glamis,PERSON,"People, including fictional",735,741
1,5,Inverness. A Room in Macbeth's Castle.,thou holily,PERSON,"People, including fictional",1028,1039
1,5,Inverness. A Room in Macbeth's Castle.,Glamis,PERSON,"People, including fictional",1115,1121
1,5,Inverness. A Room in Macbeth's Castle.,tonight,TIME,Times smaller than a day,1542,1549
1,5,Inverness. A Room in Macbeth's Castle.,MESSENGER,PERSON,"People, including fictional",1669,1678
1,5,Inverness. A Room in Macbeth's Castle.,One,CARDINAL,Numerals that do not fall under another type,1728,1731
1,5,Inverness. A Room in Macbeth's Castle.,Exit Messenger,PERSON,"People, including fictional",1901,1915
1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional",1979,1985
1,5,Inverness. A Room in Macbeth's Castle.,Th,ORG,"Companies, agencies, institutions, etc.",2290,2292
1,5,Inverness. A Room in Macbeth's Castle.,Enter Macbeth,WORK_OF_ART,"Titles of books, songs, etc.",2638,2651
1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional",2858,2864
1,5,Inverness. A Room in Macbeth's Castle.,tonight,TIME,Times smaller than a day,2876,2883
1,5,Inverness. A Room in Macbeth's Castle.,Tomorrow,DATE,Absolute or relative dates or periods,2929,2937
1,5,Inverness. A Room in Macbeth's Castle.,May,PERSON,"People, including fictional",3049,3052
1,5,Inverness. A Room in Macbeth's Castle.,night,TIME,Times smaller than a day,3287,3292
1,5,Inverness. A Room in Macbeth's Castle.,masterdom,GPE,"Countries, cities, states",3406,3415
1,6,The same. Before the Castle.,Hautboys,ORG,"Companies, agencies, institutions, etc.",0,8
1,6,The same. Before the Castle.,Duncan,PERSON,"People, including fictional",47,53
1,6,The same. Before the Castle.,Malcolm,PERSON,"People, including fictional",55,62
1,6,The same. Before the Castle.,Donalbain,PERSON,"People, including fictional",64,73
1,6,The same. Before the Castle.,Lennox,PERSON,"People, including fictional",83,89
1,6,The same. Before the Castle.,Macduff,GPE,"Countries, cities, states",91,98
1,6,The same. Before the Castle.,Ross,PERSON,"People, including fictional",100,104
1,6,The same. Before the Castle.,Angus,PERSON,"People, including fictional",106,111
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",128,134
1,6,The same. Before the Castle.,Nimbly,PERSON,"People, including fictional",178,184
1,6,The same. Before the Castle.,summer,DATE,Absolute or relative dates or periods,261,267
1,6,The same. Before the Castle.,Buttress,ORG,"Companies, agencies, institutions, etc.",401,409
1,6,The same. Before the Castle.,Lady Macbeth,PERSON,"People, including fictional",571,583
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",585,591
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",1082,1088
1,6,The same. Before the Castle.,holp,PERSON,"People, including fictional",1249,1253
1,6,The same. Before the Castle.,tonight,TIME,Times smaller than a day,1323,1330
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",1494,1500
1,7,The same. A Lobby in the Castle.,Hautboys,PERSON,"People, including fictional",0,8
1,7,The same. A Lobby in the Castle.,Sewer,ORG,"Companies, agencies, institutions, etc.",46,51
1,7,The same. A Lobby in the Castle.,First,ORDINAL,"""first"", ""second"", etc.",679,684
1,7,The same. A Lobby in the Castle.,Strong,PERSON,"People, including fictional",723,729
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",860,866
1,7,The same. A Lobby in the Castle.,Will,PERSON,"People, including fictional",958,962
1,7,The same. A Lobby in the Castle.,cherubin,PERSON,"People, including fictional",1115,1123
1,7,The same. A Lobby in the Castle.,hors'd,ORG,"Companies, agencies, institutions, etc.",1125,1131
1,7,The same. A Lobby in the Castle.,wind.—I,ORG,"Companies, agencies, institutions, etc.",1240,1247
1,7,The same. A Lobby in the Castle.,Golden,PERSON,"People, including fictional",1643,1649
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",2986,2992
1,7,The same. A Lobby in the Castle.,day,DATE,Absolute or relative dates or periods,3033,3036
1,7,The same. A Lobby in the Castle.,two,CARDINAL,Numerals that do not fall under another type,3077,3080
1,7,The same. A Lobby in the Castle.,limbeck,PERSON,"People, including fictional",3218,3225
1,7,The same. A Lobby in the Castle.,Th,ORG,"Companies, agencies, institutions, etc.",3331,3333
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",3345,3351
1,7,The same. A Lobby in the Castle.,two,CARDINAL,Numerals that do not fall under another type,3605,3608
1,7,The same. A Lobby in the Castle.,us'd,ORG,"Companies, agencies, institutions, etc.",3633,3637
2,1,Inverness. Court within the Castle.,the night,TIME,Times smaller than a day,67,76
2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional",83,90
2,1,Inverness. Court within the Castle.,twelve,CARDINAL,Numerals that do not fall under another type,167,173
2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional",175,182
2,1,Inverness. Court within the Castle.,Enter Macbeth,WORK_OF_ART,"Titles of books, songs, etc.",471,484
2,1,Inverness. Court within the Castle.,sword.—Who,PERSON,"People, including fictional",524,534
2,1,Inverness. Court within the Castle.,last night,TIME,Times smaller than a day,938,948
2,1,Inverness. Court within the Castle.,three,CARDINAL,Numerals that do not fall under another type,956,961
2,1,Inverness. Court within the Castle.,an hour,TIME,Times smaller than a day,1068,1075
2,1,Inverness. Court within the Castle.,eyes.—Now o'er,TIME,Times smaller than a day,2307,2321
2,1,Inverness. Court within the Castle.,one,CARDINAL,Numerals that do not fall under another type,2326,2329
2,1,Inverness. Court within the Castle.,half,CARDINAL,Numerals that do not fall under another type,2330,2334
2,1,Inverness. Court within the Castle.,Nature,WORK_OF_ART,"Titles of books, songs, etc.",2341,2347
2,1,Inverness. Court within the Castle.,Pale Hecate's,ORG,"Companies, agencies, institutions, etc.",2427,2440
2,1,Inverness. Court within the Castle.,Alarum'd,ORG,"Companies, agencies, institutions, etc.",2473,2481
2,1,Inverness. Court within the Castle.,Tarquin,PERSON,"People, including fictional",2567,2574
2,1,Inverness. Court within the Castle.,Duncan,PERSON,"People, including fictional",2969,2975
2,1,Inverness. Court within the Castle.,knell,PERSON,"People, including fictional",2989,2994
2,2,The same.,second,ORDINAL,"""first"", ""second"", etc.",965,971
2,2,The same.,Donalbain,PERSON,"People, including fictional",995,1004
2,2,The same.,two,CARDINAL,Numerals that do not fall under another type,1329,1332
2,2,The same.,Macbeth,PERSON,"People, including fictional",1838,1845
2,2,The same.,day,DATE,Absolute or relative dates or periods,1953,1956
2,2,The same.,second,ORDINAL,"""first"", ""second"", etc.",2020,2026
2,2,The same.,Glamis,PERSON,"People, including fictional",2161,2167
2,2,The same.,brainsickly,PERSON,"People, including fictional",2368,2379
2,2,The same.,Neptune,LOC,"Non-GPE locations, mountain ranges, bodies of water",3085,3092
2,2,The same.,Lady Macbeth,PERSON,"People, including fictional",3234,3246
2,2,The same.,Wake Duncan,PERSON,"People, including fictional",3731,3742
2,3,The same.,Belzebub,ORG,"Companies, agencies, institutions, etc.",197,205
2,3,The same.,English,LANGUAGE,Any named language,660,667
2,3,The same.,French,NORP,Nationalities or religious or political groups,710,716
2,3,The same.,Macduff,PERSON,"People, including fictional",1079,1086
2,3,The same.,Lennox,PERSON,"People, including fictional",1091,1097
2,3,The same.,second,ORDINAL,"""first"", ""second"", etc.",1225,1231
2,3,The same.,three,CARDINAL,Numerals that do not fall under another type,1277,1282
2,3,The same.,three,CARDINAL,Numerals that do not fall under another type,1305,1310
2,3,The same.,last night,TIME,Times smaller than a day,1839,1849
2,3,The same.,thy master,PERSON,"People, including fictional",2055,2065
2,3,The same.,morrow,DATE,Absolute or relative dates or periods,2148,2154
2,3,The same.,morrow,DATE,Absolute or relative dates or periods,2181,2187
2,3,The same.,Exit Macduff,PERSON,"People, including fictional",2570,2582
2,3,The same.,today,DATE,Absolute or relative dates or periods,2612,2617
2,3,The same.,Lamentings,PERSON,"People, including fictional",2752,2762
2,3,The same.,Twas,TIME,Times smaller than a day,3025,3029
2,3,The same.,Macduff,PERSON,"People, including fictional",3112,3119
2,3,The same.,Gorgon,ORG,"Companies, agencies, institutions, etc.",3534,3540
2,3,The same.,Exeunt Macbeth and,WORK_OF_ART,"Titles of books, songs, etc.",3595,3613
2,3,The same.,Lennox,PERSON,"People, including fictional",3614,3620
2,3,The same.,Banquo,PERSON,"People, including fictional",3679,3685
2,3,The same.,Donalbain,PERSON,"People, including fictional",3690,3699
2,3,The same.,Malcolm,PERSON,"People, including fictional",3701,3708
2,3,The same.,Malcolm,PERSON,"People, including fictional",3832,3839
2,3,The same.,Banquo,PERSON,"People, including fictional",3841,3847
2,3,The same.,Alarum-bell,PERSON,"People, including fictional",3928,3939
2,3,The same.,Lady Macbeth,PERSON,"People, including fictional",3953,3965
2,3,The same.,Duff,PERSON,"People, including fictional",4353,4357
2,3,The same.,Lennox,PERSON,"People, including fictional",4431,4437
2,3,The same.,Ross,PERSON,"People, including fictional",4443,4447
2,3,The same.,an hour,TIME,Times smaller than a day,4473,4480
2,3,The same.,Malcolm,PERSON,"People, including fictional",4715,4722
2,3,The same.,Donalbain,PERSON,"People, including fictional",4727,4736
2,3,The same.,DONALBAIN,PERSON,"People, including fictional",4738,4747
2,3,The same.,MALCOLM,PERSON,"People, including fictional",4935,4942
2,3,The same.,Loyal,ORG,"Companies, agencies, institutions, etc.",5361,5366
2,3,The same.,Duncan,PERSON,"People, including fictional",5471,5477
2,3,The same.,Unmannerly,PERSON,"People, including fictional",5681,5691
2,3,The same.,gore,PERSON,"People, including fictional",5706,5710
2,3,The same.,MALCOLM,PERSON,"People, including fictional",5865,5872
2,3,The same.,DONALBAIN,PERSON,"People, including fictional",5946,5955
2,3,The same.,MALCOLM,PERSON,"People, including fictional",6089,6096
2,3,The same.,— Lady Macbeth,PERSON,"People, including fictional",6170,6184
2,3,The same.,Malcolm,PERSON,"People, including fictional",6630,6637
2,3,The same.,Donalbain,PERSON,"People, including fictional",6642,6651
2,3,The same.,MALCOLM,PERSON,"People, including fictional",6653,6660
2,3,The same.,England,GPE,"Countries, cities, states",6786,6793
2,3,The same.,DONALBAIN,PERSON,"People, including fictional",6795,6804
2,3,The same.,Ireland,GPE,"Countries, cities, states",6809,6816
2,3,The same.,I. Our,ORG,"Companies, agencies, institutions, etc.",6818,6824
2,3,The same.,MALCOLM,PERSON,"People, including fictional",6958,6965
2,4,The same. Without the Castle.,Threescore,PERSON,"People, including fictional",36,46
2,4,The same. Without the Castle.,ten,CARDINAL,Numerals that do not fall under another type,51,54
2,4,The same. Without the Castle.,Hours,TIME,Times smaller than a day,120,125
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",205,209
2,4,The same. Without the Castle.,Thou,PERSON,"People, including fictional",228,232
2,4,The same. Without the Castle.,night,TIME,Times smaller than a day,386,391
2,4,The same. Without the Castle.,day,DATE,Absolute or relative dates or periods,415,418
2,4,The same. Without the Castle.,Tuesday,DATE,Absolute or relative dates or periods,567,574
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",666,670
2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional",676,682
2,4,The same. Without the Castle.,MAN,GPE,"Countries, cities, states",900,903
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",936,940
2,4,The same. Without the Castle.,Macduff,ORG,"Companies, agencies, institutions, etc.",1026,1033
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1107,1111
2,4,The same. Without the Castle.,Macbeth,PERSON,"People, including fictional",1180,1187
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1200,1204
2,4,The same. Without the Castle.,the day,DATE,Absolute or relative dates or periods,1212,1219
2,4,The same. Without the Castle.,Malcolm,PERSON,"People, including fictional",1280,1287
2,4,The same. Without the Castle.,Donalbain,PERSON,"People, including fictional",1292,1301
2,4,The same. Without the Castle.,two,CARDINAL,Numerals that do not fall under another type,1314,1317
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1394,1398
2,4,The same. Without the Castle.,Thine,NORP,Nationalities or religious or political groups,1462,1467
2,4,The same. Without the Castle.,Scone,ORG,"Companies, agencies, institutions, etc.",1588,1593
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1610,1614
2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional",1625,1631
2,4,The same. Without the Castle.,Colmekill,ORG,"Companies, agencies, institutions, etc.",1660,1669
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1743,1747
2,4,The same. Without the Castle.,Scone,PERSON,"People, including fictional",1761,1766
2,4,The same. Without the Castle.,Fife,NORP,Nationalities or religious or political groups,1797,1801
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1803,1807
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1933,1937
2,4,The same. Without the Castle.,MAN,GPE,"Countries, cities, states",1961,1964
2,4,The same. Without the Castle.,benison,PERSON,"People, including fictional",1972,1979
3,1,Forres. A Room in the Palace.,King,PERSON,"People, including fictional",40,44
3,1,Forres. A Room in the Palace.,Glamis,PERSON,"People, including fictional",54,60
3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional",302,309
3,1,Forres. A Room in the Palace.,May,DATE,Absolute or relative dates or periods,373,376
3,1,Forres. A Room in the Palace.,Sennet,PERSON,"People, including fictional",451,457
3,1,Forres. A Room in the Palace.,Lady Macbeth,PERSON,"People, including fictional",490,502
3,1,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional",513,519
3,1,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional",521,525
3,1,Forres. A Room in the Palace.,Lords,ORG,"Companies, agencies, institutions, etc.",527,532
3,1,Forres. A Room in the Palace.,Tonight,TIME,Times smaller than a day,699,706
3,1,Forres. A Room in the Palace.,this afternoon,TIME,Times smaller than a day,901,915
3,1,Forres. A Room in the Palace.,day,DATE,Absolute or relative dates or periods,1055,1058
3,1,Forres. A Room in the Palace.,tomorrow,DATE,Absolute or relative dates or periods,1085,1093
3,1,Forres. A Room in the Palace.,the night,TIME,Times smaller than a day,1244,1253
3,1,Forres. A Room in the Palace.,a dark hour,TIME,Times smaller than a day,1259,1270
3,1,Forres. A Room in the Palace.,England,GPE,"Countries, cities, states",1391,1398
3,1,Forres. A Room in the Palace.,Ireland,GPE,"Countries, cities, states",1406,1413
3,1,Forres. A Room in the Palace.,tomorrow,DATE,Absolute or relative dates or periods,1511,1519
3,1,Forres. A Room in the Palace.,night,TIME,Times smaller than a day,1631,1636
3,1,Forres. A Room in the Palace.,seven at night,TIME,Times smaller than a day,1871,1885
3,1,Forres. A Room in the Palace.,Sirrah,PERSON,"People, including fictional",2031,2037
3,1,Forres. A Room in the Palace.,the palace gate,FAC,"Buildings, airports, highways, bridges, etc.",2123,2138
3,1,Forres. A Room in the Palace.,Exit Servant,PERSON,"People, including fictional",2171,2183
3,1,Forres. A Room in the Palace.,Banquo Stick,FAC,"Buildings, airports, highways, bridges, etc.",2244,2256
3,1,Forres. A Room in the Palace.,Reigns,ORG,"Companies, agencies, institutions, etc.",2292,2298
3,1,Forres. A Room in the Palace.,Mark Antony's,PERSON,"People, including fictional",2548,2561
3,1,Forres. A Room in the Palace.,Caesar,PERSON,"People, including fictional",2569,2575
3,1,Forres. A Room in the Palace.,first,ORDINAL,"""first"", ""second"", etc.",2602,2607
3,1,Forres. A Room in the Palace.,If't,ORG,"Companies, agencies, institutions, etc.",2888,2892
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",2904,2910
3,1,Forres. A Room in the Palace.,Duncan,PERSON,"People, including fictional",2963,2969
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",3130,3136
3,1,Forres. A Room in the Palace.,utterance!—Who,PERSON,"People, including fictional",3210,3224
3,1,Forres. A Room in the Palace.,two,CARDINAL,Numerals that do not fall under another type,3254,3257
3,1,Forres. A Room in the Palace.,Exit Servant,PERSON,"People, including fictional",3318,3330
3,1,Forres. A Room in the Palace.,yesterday,DATE,Absolute or relative dates or periods,3343,3352
3,1,Forres. A Room in the Palace.,FIRST,ORDINAL,"""first"", ""second"", etc.",3372,3377
3,1,Forres. A Room in the Palace.,cross'd,PERSON,"People, including fictional",3709,3716
3,1,Forres. A Room in the Palace.,half,CARDINAL,Numerals that do not fall under another type,3792,3796
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",3842,3848
3,1,Forres. A Room in the Palace.,FIRST,ORDINAL,"""first"", ""second"", etc.",3851,3856
3,1,Forres. A Room in the Palace.,second,ORDINAL,"""first"", ""second"", etc.",3955,3961
3,1,Forres. A Room in the Palace.,FIRST,ORDINAL,"""first"", ""second"", etc.",4195,4200
3,1,Forres. A Room in the Palace.,Shoughs,GPE,"Countries, cities, states",4331,4338
3,1,Forres. A Room in the Palace.,Distinguishes,PERSON,"People, including fictional",4419,4432
3,1,Forres. A Room in the Palace.,incens'd,GPE,"Countries, cities, states",5045,5053
3,1,Forres. A Room in the Palace.,FIRST,ORDINAL,"""first"", ""second"", etc.",5103,5108
3,1,Forres. A Room in the Palace.,That every minute,TIME,Times smaller than a day,5380,5397
3,1,Forres. A Room in the Palace.,SECOND,DATE,Absolute or relative dates or periods,5801,5807
3,1,Forres. A Room in the Palace.,FIRST,ORDINAL,"""first"", ""second"", etc.",5866,5871
3,1,Forres. A Room in the Palace.,this hour,TIME,Times smaller than a day,5948,5957
3,1,Forres. A Room in the Palace.,tonight,TIME,Times smaller than a day,6095,6102
3,1,Forres. A Room in the Palace.,BOTH MURDERERS,ORG,"Companies, agencies, institutions, etc.",6426,6440
3,1,Forres. A Room in the Palace.,Exeunt Murderers,WORK_OF_ART,"Titles of books, songs, etc.",6520,6536
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",6555,6561
