play,act,scene,location,entity_text,label,label_description
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",EIGHT,CARDINAL,Numerals that do not fall under another type
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",EIGHTH,ORDINAL,"""first"", ""second"", etc."
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",MACBETH,PERSON,"People, including fictional"
MACBETH,4,2,Fife. A Room in Macduff's Castle.,LADY MACDUFF,PERSON,"People, including fictional"
MACBETH,4,2,Fife. A Room in Macduff's Castle.,ROSS,PERSON,"People, including fictional"
MACBETH,4,3,England. Before the King's Palace.,EAST,LOC,"Non-GPE locations, mountain ranges, bodies of water"
MACBETH,4,3,England. Before the King's Palace.,WIFE,REL,REL
MACBETH,5,1,Dunsinane. A Room in the Castle.,TWO NIGHTS,TIME,Times smaller than a day
MACBETH,5,1,Dunsinane. A Room in the Castle.,ARABIA,GPE,"Countries, cities, states"
MACBETH,5,2,The Country near Dunsinane.,MENTEITH,PERSON,"People, including fictional"
MACBETH,5,3,Dunsinane. A Room in the Castle.,TEN THOUSAND,DATE,Absolute or relative dates or periods
MACBETH,5,3,Dunsinane. A Room in the Castle.,SEYTON,PERSON,PERSON
MACBETH,5,5,Dunsinane. Within the castle.,A NIGHT,TIME,Times smaller than a day
MACBETH,5,5,Dunsinane. Within the castle.,DAY,DATE,Absolute or relative dates or periods
MACBETH,5,5,Dunsinane. Within the castle.,THREE MILE,QUANTITY,"Measurements, as of weight or distance"
MACBETH,5,7,The same. Another part of the Plain.,THE CASTLE,FAC,"Buildings, airports, highways, bridges, etc."
MACBETH,5,8,The same. Another part of the field.,ROMAN,NORP,Nationalities or religious or political groups
MACBETH,5,8,The same. Another part of the field.,A DAY,DATE,Absolute or relative dates or periods
MACBETH,5,8,The same. Another part of the field.,MALCOLM,PERSON,"People, including fictional"
