entity,label,frequency
Appear,PERSON,1
Approach,PERSON,1
Arabia,PERSON,1
Ariadne,PERSON,1
Aroint,PERSON,1
Arragon,PERSON,1
Art,PERSON,1
Ascend,PERSON,1
Athenian,PERSON,3
Augurs,PERSON,1
Aurora,PERSON,2
Avaunt,PERSON,1
Awake,PERSON,2
Away,PERSON,1
BALTHASAR,PERSON,4
BANQUO,PERSON,32
BEATRICE,PERSON,5
BENEDICK,PERSON,134
BENVOLIO,PERSON,63
BORACHIO,PERSON,38
BOTH,PERSON,1
BOTTOM,PERSON,37
BOY,PERSON,2
Bacchanals,PERSON,1
Balm,PERSON,1
Balthasar,PERSON,12
Banish’d,PERSON,1
Banquo,PERSON,40
Bear,PERSON,2
Bearing,PERSON,2
Beatrice,PERSON,52
Beauteous,PERSON,1
Beauty,PERSON,1
Becomes,PERSON,1
Bedabbled,PERSON,1
Beetles,PERSON,1
Beg,PERSON,2
Begot,PERSON,1
Being,PERSON,1
Bel,PERSON,1
Belike,PERSON,1
Bellona,PERSON,1
Belonging,PERSON,1
Belzebub,PERSON,1
Benedicite,PERSON,1
Benedick,PERSON,67
Benedictus,PERSON,1
Benvolio,PERSON,15
Bergomask,PERSON,2
Beshrew,PERSON,3
Bestride,PERSON,1
Beware,PERSON,2
Bid,PERSON,1
Bless,PERSON,1
Blessing,PERSON,1
Bliss,PERSON,1
Blood,PERSON,1
Bloody,PERSON,1
Bondage,PERSON,1
Bootless,PERSON,1
Borachio,PERSON,12
Bottom,PERSON,11
Bounty,PERSON,1
Boy,PERSON,1
Brags,PERSON,1
Brandish’d,PERSON,1
Breaking,PERSON,1
Brief,PERSON,2
Buttress,PERSON,1
CAITHNESS,PERSON,3
CAPULET,PERSON,90
CHORUS,PERSON,4
CLAUDIO,PERSON,70
COBWEB,PERSON,4
CONRADE,PERSON,1
COUSIN,PERSON,2
Cadmus,PERSON,1
Caesar,PERSON,1
Caithness,PERSON,2
Capel,PERSON,1
Capulet,PERSON,40
Cast,PERSON,1
Cawdor,PERSON,1
Centaurs,PERSON,1
Change,PERSON,1
Charm,PERSON,1
Cheerly,PERSON,1
Chequering,PERSON,1
Chid,PERSON,1
Child,PERSON,2
Church,PERSON,3
Churl,PERSON,1
Citizens,PERSON,1
Claudio,PERSON,73
Cleopatra,PERSON,1
Clowns,PERSON,1
Clubs,PERSON,1
Cobweb,PERSON,3
Colmekill,PERSON,1
Come,PERSON,40
Compell’d,PERSON,1
Conceit,PERSON,1
Confirm’d,PERSON,1
Confound,PERSON,1
Conrade,PERSON,8
Consort,PERSON,1
Consume,PERSON,1
Contempt,PERSON,2
Cophetua,PERSON,1
Corin,PERSON,1
Count,PERSON,7
Courtesy,PERSON,1
Cousin,PERSON,1
Cousins,PERSON,4
Coward,PERSON,1
Creep,PERSON,1
Creeps,PERSON,1
Crook,PERSON,1
Crowns,PERSON,1
Crystal,PERSON,1
Cupid,PERSON,22
Curbing,PERSON,1
Curses,PERSON,1
Curs’d,PERSON,1
Cynthia,PERSON,1
DEMETRIUS,PERSON,48
DOGBERRY,PERSON,22
DON,PERSON,160
DONALBAIN,PERSON,3
DUNCAN,PERSON,18
Damnèd,PERSON,1
Dance,PERSON,4
Daphne,PERSON,1
Dapples,PERSON,1
Daughter,PERSON,1
Day,PERSON,1
Dead,PERSON,2
Death,PERSON,7
Decking,PERSON,1
Delay,PERSON,1
Demetrius,PERSON,52
Descends,PERSON,4
Deserve,PERSON,1
Desire,PERSON,1
Despair,PERSON,1
Despisèd,PERSON,1
Despis’d,PERSON,1
Destroying,PERSON,1
Devoutly,PERSON,1
Dian,PERSON,3
Diana,PERSON,1
Dido,PERSON,1
Dies,PERSON,6
Digressing,PERSON,1
Direness,PERSON,1
Disdain,PERSON,1
Disguising,PERSON,1
Dismay’d,PERSON,1
Disparage,PERSON,1
Displant,PERSON,1
Distinguishes,PERSON,1
Dogberry,PERSON,7
Donalbain,PERSON,10
Dost,PERSON,9
Doth,PERSON,10
Dove,PERSON,1
Drawing,PERSON,2
Drawn,PERSON,1
Draws,PERSON,1
Drinks,PERSON,1
Duchess,PERSON,1
Duff,PERSON,1
Duke,PERSON,6
Duncan,PERSON,19
Dunsinane,PERSON,6
Durst,PERSON,1
EGEUS,PERSON,7
Easter,PERSON,1
Edward,PERSON,1
Egeus,PERSON,8
Egypt,PERSON,1
Else,PERSON,1
Enrings,PERSON,1
Environed,PERSON,1
Epitaph,PERSON,1
Ercles,PERSON,2
Ere,PERSON,5
Err,PERSON,1
Ethiop,PERSON,1
Ethiope,PERSON,1
Europa,PERSON,1
Evermore,PERSON,2
Exeunt,PERSON,28
Exit,PERSON,67
Exit First,PERSON,1
FLEANCE,PERSON,2
FRIAR,PERSON,16
Fain,PERSON,1
Faintness,PERSON,1
Fair,PERSON,4
Fairies,PERSON,5
Fairy,PERSON,1
Faith,PERSON,9
Fall,PERSON,1
Falls,PERSON,2
Fann’d,PERSON,1
Farewell,PERSON,19
Fashion’d,PERSON,1
Fates,PERSON,1
Father’d,PERSON,1
Fetter,PERSON,1
Fie,PERSON,3
Finding,PERSON,1
Fine,PERSON,1
Fire,PERSON,3
Fleance,PERSON,11
Florentine,PERSON,1
Flourish,PERSON,5
Flower,PERSON,2
Flute,PERSON,5
Fly,PERSON,1
Flying,PERSON,1
Forsook,PERSON,1
Forswear,PERSON,1
Free,PERSON,1
Friends,PERSON,1
Friendship,PERSON,1
Furies,PERSON,1
GENTLEWOMAN,PERSON,11
GREGORY,PERSON,15
Gall,PERSON,1
Gallants,PERSON,1
Gallop,PERSON,1
Geese,PERSON,1
Gentles,PERSON,1
Ghost,PERSON,2
Glance,PERSON,1
Goblin,PERSON,1
God,PERSON,15
Golden,PERSON,1
Goodman,PERSON,1
Gorgon,PERSON,1
Gorg’d,PERSON,1
Grace,PERSON,16
Graves,PERSON,1
Graymalkin,PERSON,1
Graze,PERSON,1
Great,PERSON,1
Greater,PERSON,1
Gregory,PERSON,3
Griefs,PERSON,1
Groan,PERSON,1
HECATE,PERSON,1
HERMIA,PERSON,4
HERO,PERSON,42
Ha,PERSON,6
Hadst,PERSON,1
Hail,PERSON,3
Hang,PERSON,3
Hanging,PERSON,1
Happily,PERSON,1
Happiness,PERSON,1
Hark,PERSON,4
Hark!—Who,PERSON,1
Harpier,PERSON,1
Hast,PERSON,6
Hath,PERSON,6
Hautboys,PERSON,3
Heavens,PERSON,1
Heavily,PERSON,2
Hecate,PERSON,4
Hector,PERSON,1
Helen,PERSON,9
Helena,PERSON,35
Hell,PERSON,1
Help,PERSON,3
Henceforward,PERSON,2
Hercules,PERSON,6
Hermia,PERSON,53
Hero,PERSON,75
Hie,PERSON,8
Hippolyta,PERSON,10
Hist,PERSON,1
Ho,PERSON,3
Hobgoblin,PERSON,1
Hood,PERSON,1
Hop,PERSON,1
Horns,PERSON,2
Hover,PERSON,1
Humh,PERSON,1
I.,PERSON,5
Ill,PERSON,1
Immoderately,PERSON,1
Implor’d,PERSON,1
Is’t,PERSON,3
I’faith,PERSON,1
JOHN,PERSON,45
JULIET,PERSON,118
Jack,PERSON,3
Jacks,PERSON,2
Jesu,PERSON,2
Jew,PERSON,1
Jill,PERSON,1
John,PERSON,13
Jove,PERSON,4
Joy,PERSON,1
Jule,PERSON,3
Juliet,PERSON,60
Keeps,PERSON,1
Killing,PERSON,1
Knacks,PERSON,1
Knight,PERSON,1
Knowing,PERSON,1
LADY,PERSON,34
LEONATO,PERSON,114
LORD,PERSON,3
LORDS,PERSON,3
LYSANDER,PERSON,37
Lady,PERSON,13
Lady Macbeth,PERSON,12
Lamentings,PERSON,1
Lammas,PERSON,1
Laugh,PERSON,1
Laura,PERSON,1
Lawrence,PERSON,4
Lays,PERSON,1
Leander,PERSON,1
Lechery,PERSON,1
Lennox,PERSON,12
Lent,PERSON,2
Leonato,PERSON,46
Lest,PERSON,4
Letting,PERSON,1
Liar,PERSON,1
Lies,PERSON,2
Life,PERSON,1
Lightning,PERSON,1
Limander,PERSON,1
Lion,PERSON,7
Liver,PERSON,1
Livia,PERSON,1
Lizard,PERSON,1
Lo,PERSON,3
Long,PERSON,1
Lord,PERSON,2
Lords,PERSON,4
Love,PERSON,13
Lovers,PERSON,2
Loves,PERSON,1
Lower,PERSON,1
Loyal,PERSON,1
Lucio,PERSON,1
Lulla,PERSON,1
Lull’d,PERSON,1
Luxurious,PERSON,1
Lysander,PERSON,53
MACBETH,PERSON,142
MACDUFF,PERSON,78
MALCOLM,PERSON,40
MAN,PERSON,4
MARGARET,PERSON,25
MENTEITH,PERSON,5
MERCUTIO,PERSON,62
MESSENGER,PERSON,23
MONTAGUE,PERSON,10
MOON,PERSON,1
MOONSHINE,PERSON,2
MOTH,PERSON,1
MURDERER,PERSON,3
MUSICIAN,PERSON,4
MUSTARDSEED,PERSON,4
Mab,PERSON,2
Macbeth,PERSON,61
Macdonwald,PERSON,1
Macduff,PERSON,29
Madam,PERSON,13
Madman,PERSON,1
Maintain’d,PERSON,1
Makes,PERSON,1
Malcolm,PERSON,18
Malice,PERSON,1
Man,PERSON,1
Margaret,PERSON,23
Mark,PERSON,2
Marry,PERSON,29
Mass,PERSON,2
Master,PERSON,1
May,PERSON,14
Meet,PERSON,1
Meeting,PERSON,1
Meg,PERSON,2
Melted,PERSON,2
Men,PERSON,1
Menteith,PERSON,2
Mercutio,PERSON,25
Mercy,PERSON,1
Met,PERSON,1
Might,PERSON,3
Mine,PERSON,3
Miscarried,PERSON,1
Mislead,PERSON,1
Misprising,PERSON,1
Misshapen,PERSON,2
Mist,PERSON,1
Montague,PERSON,29
Montagues,PERSON,3
Moon,PERSON,4
Moonshine,PERSON,7
Moral,PERSON,1
More,PERSON,1
Moth,PERSON,2
Music,PERSON,5
Musicians,PERSON,3
Must,PERSON,2
Mustardseed,PERSON,2
Myself,PERSON,4
NURSE,PERSON,85
Nature,PERSON,4
Nay,PERSON,2
Nedar,PERSON,2
Neighing,PERSON,1
Nell,PERSON,1
Neptune,PERSON,3
Never,PERSON,8
New,PERSON,1
Newts,PERSON,1
Ne’er,PERSON,1
Niece,PERSON,1
Night,PERSON,1
Nightly,PERSON,2
Nimbly,PERSON,1
Ninny,PERSON,3
Ninus,PERSON,2
Nod,PERSON,1
Norweyan,PERSON,1
Nose,PERSON,1
Notes,PERSON,1
Nothing,PERSON,1
Nurse!—Sweet,PERSON,1
O,PERSON,1
OBERON,PERSON,29
Oberon,PERSON,16
Obey,PERSON,1
Odours,PERSON,1
Old,PERSON,1
Others,PERSON,2
Ourself,PERSON,1
Outrun,PERSON,1
PAGE,PERSON,1
PARIS,PERSON,5
PEASEBLOSSOM,PERSON,4
PEDRO,PERSON,134
PETER,PERSON,13
PHILOSTRATE,PERSON,6
PORTER,PERSON,2
PRINCE,PERSON,9
PUCK,PERSON,33
PYRAMUS,PERSON,12
Paddock,PERSON,1
Page,PERSON,2
Painted,PERSON,1
Pale,PERSON,2
Pard,PERSON,1
Pardon,PERSON,4
Paris,PERSON,36
Pat,PERSON,1
Patch,PERSON,1
Peace,PERSON,6
Peaseblossom,PERSON,6
Peradventure,PERSON,1
Perform,PERSON,1
Persever,PERSON,1
Pertains,PERSON,1
Peter,PERSON,16
Peter Quince,PERSON,8
Petrarch,PERSON,1
Petruchio,PERSON,1
Phaeton,PERSON,1
Pharaoh,PERSON,1
Phibbus,PERSON,1
Philemon,PERSON,1
Phillida,PERSON,1
Philomel,PERSON,2
Philostrate,PERSON,5
Phoebe,PERSON,1
Phoebus,PERSON,2
Pierc’d,PERSON,1
Piteous,PERSON,1
Play’d,PERSON,1
Please’t,PERSON,1
Pluck,PERSON,1
Point,PERSON,1
Poison,PERSON,2
Potpan,PERSON,2
Praising,PERSON,1
Pray,PERSON,2
Prester,PERSON,1
Prick,PERSON,1
Prince,PERSON,8
Princes,PERSON,1
Procrus,PERSON,2
Producing,PERSON,1
Profaners,PERSON,1
Profit,PERSON,1
Prologue,PERSON,1
Proportion’d,PERSON,1
Proud,PERSON,2
Puck,PERSON,17
Puppet,PERSON,1
Pyramus,PERSON,47
QUINCE,PERSON,38
Quarrels,PERSON,1
Queen,PERSON,1
Quench’d,PERSON,1
Question,PERSON,1
Quince,PERSON,4
ROMEO,PERSON,161
ROSS,PERSON,39
Rather,PERSON,1
Raze,PERSON,1
Reads,PERSON,1
Ready,PERSON,3
Reason,PERSON,1
Rebellious,PERSON,1
Reigns,PERSON,1
Relent,PERSON,1
Remnants,PERSON,1
Repentance,PERSON,1
Retires,PERSON,2
Retorts,PERSON,1
Retreat,PERSON,1
Returning,PERSON,1
Return’d,PERSON,1
Revenges,PERSON,1
Revive,PERSON,1
Revolts,PERSON,1
Rich,PERSON,1
Riddling,PERSON,1
Ring,PERSON,2
Rising,PERSON,1
Robin,PERSON,3
Robin Goodfellow,PERSON,1
Romeo,PERSON,147
Rosaline,PERSON,10
Ross,PERSON,14
Round,PERSON,1
SECOND,PERSON,12
SERVANT,PERSON,1
SEXTON,PERSON,3
SEYTON,PERSON,5
SIWARD,PERSON,15
SNOUT,PERSON,5
SOLDIER,PERSON,3
SON,PERSON,5
Said,PERSON,1
Sailing,PERSON,1
Sampson,PERSON,1
Saturn,PERSON,1
Savagely,PERSON,1
Scambling,PERSON,1
Scarf,PERSON,1
Scotland.—O,PERSON,1
Seal’d,PERSON,1
Search,PERSON,1
Sennet,PERSON,1
Sexton,PERSON,2
Seyton,PERSON,6
Shafalus,PERSON,1
Shakes,PERSON,1
Shall,PERSON,23
Sharp,PERSON,1
Shine,PERSON,1
Shipwracking,PERSON,1
Shot,PERSON,1
Shoughs,PERSON,1
Show,PERSON,1
Show’d,PERSON,1
Sigh,PERSON,1
Sin,PERSON,1
Sinel,PERSON,1
Sing,PERSON,2
Sings,PERSON,3
Sirrah,PERSON,5
Sister,PERSON,1
Sisters,PERSON,2
Siward,PERSON,11
Skim,PERSON,1
Sleeps,PERSON,2
Sliver’d,PERSON,1
Snout,PERSON,3
Snug,PERSON,3
Soft,PERSON,3
Soldiers,PERSON,4
Song,PERSON,2
Sound,PERSON,1
Spakest,PERSON,1
Spanish,PERSON,1
Spare,PERSON,1
Speak,PERSON,1
Spiteful,PERSON,1
Squeezes,PERSON,1
Stands,PERSON,1
Starveling,PERSON,4
Staying,PERSON,1
Steal,PERSON,2
Steep’d,PERSON,1
Stir,PERSON,1
Stones,PERSON,1
Straining,PERSON,1
Strange,PERSON,3
Striding,PERSON,1
Strong,PERSON,1
Such,PERSON,1
Sudden,PERSON,1
Supper,PERSON,1
Sups,PERSON,1
Susan,PERSON,2
Sweet,PERSON,10
Sweetheart,PERSON,1
Sweno,PERSON,1
Swift,PERSON,1
Swifter,PERSON,3
Swits,PERSON,1
THESEUS,PERSON,48
THISBE,PERSON,1
TITANIA,PERSON,23
TYBALT,PERSON,12
Takes,PERSON,3
Talk,PERSON,1
Tarquin,PERSON,1
Tarry,PERSON,3
Tartar,PERSON,3
Taurus,PERSON,1
Tell,PERSON,1
Tempering,PERSON,1
Th,PERSON,3
Thane,PERSON,9
Thanes,PERSON,1
Thebes,PERSON,1
Thence,PERSON,1
These,PERSON,1
Theseus,PERSON,14
Thine,PERSON,2
Thing,PERSON,1
Thisne,PERSON,1
Thorny,PERSON,1
Thou,PERSON,68
Thou’rt,PERSON,1
Threatens,PERSON,1
Threescore,PERSON,1
Thrice,PERSON,3
Thriftless,PERSON,1
Throttle,PERSON,1
Thunder,PERSON,7
Thy,PERSON,15
Till,PERSON,6
Time,PERSON,5
Titan,PERSON,1
Titania,PERSON,17
Toad,PERSON,1
Together,PERSON,1
Tomorrow,PERSON,1
Tongue,PERSON,3
Took,PERSON,2
Torch,PERSON,1
Towards,PERSON,1
Train,PERSON,5
Transparent,PERSON,1
Treason,PERSON,1
Trip,PERSON,1
Troilus,PERSON,1
Trojan,PERSON,1
Troop,PERSON,1
Troth,PERSON,3
Truly,PERSON,4
Trust,PERSON,1
Turk,PERSON,1
Turn,PERSON,1
Turns,PERSON,2
Turn’d,PERSON,1
Tush,PERSON,5
Tut,PERSON,4
Twixt,PERSON,1
Tybalt,PERSON,61
Tybalts,PERSON,1
Uncle,PERSON,2
Uneven,PERSON,1
Unfold,PERSON,1
Unmannerly,PERSON,1
Unreal,PERSON,1
Unseemly,PERSON,1
Unspeak,PERSON,1
Unto,PERSON,6
Unwieldy,PERSON,1
Ursula,PERSON,12
Utruvio,PERSON,1
VERGES,PERSON,4
Valentine,PERSON,1
Valentio,PERSON,1
Valour,PERSON,1
Venus,PERSON,5
Verges,PERSON,9
Villain,PERSON,2
Virtue,PERSON,1
Vulcan,PERSON,1
WATCH,PERSON,1
Wake,PERSON,1
Waking,PERSON,1
Wall,PERSON,9
Wanton,PERSON,1
War,PERSON,2
Warm,PERSON,1
Was’t,PERSON,2
Weaving,PERSON,1
Wedded,PERSON,1
Weed,PERSON,1
Weep,PERSON,1
Wert,PERSON,1
Whate’er,PERSON,2
Whereat,PERSON,1
Whereto,PERSON,1
Whether,PERSON,1
Which,PERSON,4
Whipp’d,PERSON,1
Whisper,PERSON,1
Whistle,PERSON,1
Whiter,PERSON,1
Whither,PERSON,8
Whose,PERSON,5
Wife,PERSON,1
Will,PERSON,2
Wilt,PERSON,8
Wings,PERSON,1
Wink,PERSON,1
Wisdom,PERSON,1
Wishes,PERSON,1
Witchcraft,PERSON,1
Withdraw,PERSON,1
Without,PERSON,1
Woe,PERSON,1
Worm,PERSON,1
Wrack’d,PERSON,1
Ye,PERSON,2
Yea,PERSON,29
Yond,PERSON,1
Yonder,PERSON,2
You,PERSON,1
Young,PERSON,2
Younger,PERSON,1
Yours,PERSON,2
abound’st,PERSON,1
"ado,—a",PERSON,1
again.—Pull’t,PERSON,1
alack,PERSON,1
all?—O,PERSON,1
amazèd,PERSON,1
atomies,PERSON,1
awak’d,PERSON,4
ay,PERSON,4
bane,PERSON,1
barky,PERSON,1
beldams,PERSON,1
bellman,PERSON,1
belov’d,PERSON,1
benedictus,PERSON,1
benison,PERSON,1
berhyme,PERSON,1
beshrew,PERSON,4
blood.—What,PERSON,1
bloody,PERSON,1
braggart,PERSON,2
braggarts,PERSON,1
brainsickly,PERSON,1
brush’d,PERSON,1
bud,PERSON,1
buds,PERSON,1
bush,PERSON,4
call’d,PERSON,1
cankerblossom,PERSON,1
carol,PERSON,1
chanc’d,PERSON,1
cherubin,PERSON,1
chestnuts,PERSON,1
choler,PERSON,2
chuck,PERSON,1
compos’d,PERSON,2
cool’d,PERSON,1
counsell’d,PERSON,1
"cousin,—with",PERSON,1
coz,PERSON,1
daffed,PERSON,1
deceiv’d,PERSON,1
decerns,PERSON,1
defil’d,PERSON,2
deliver’d,PERSON,1
den,PERSON,1
despatch.—If,PERSON,1
diseas’d,PERSON,1
disseat,PERSON,1
doff,PERSON,1
doth,PERSON,15
drowse,PERSON,1
dun,PERSON,2
empoison,PERSON,1
enforc’d,PERSON,1
enough.—Come,PERSON,1
espy,PERSON,1
fawn,PERSON,1
fed,PERSON,1
fie,PERSON,6
finish’d,PERSON,1
forc’d,PERSON,2
friar,PERSON,1
gallowglasses,PERSON,1
garlick,PERSON,1
gash’d,PERSON,1
gauds,PERSON,1
goddess,PERSON,1
goodman,PERSON,1
gore,PERSON,2
greatness,PERSON,1
grey,PERSON,1
grunt,PERSON,1
hazel,PERSON,1
"herbs,—grace",PERSON,1
hill,PERSON,1
his.—What,PERSON,1
ho,PERSON,11
holp,PERSON,3
howlet,PERSON,1
inclin’d,PERSON,1
is’t,PERSON,5
kill’d,PERSON,1
knell,PERSON,3
knitteth,PERSON,1
knock!—Who,PERSON,1
knoll’d,PERSON,1
light!—For,PERSON,1
likest,PERSON,1
loathèd,PERSON,1
loggerhead.—Good,PERSON,1
look’d,PERSON,4
lov’d,PERSON,5
lulla,PERSON,3
maid,PERSON,5
mar,PERSON,4
marchpane,PERSON,1
martyr’d,PERSON,1
masque,PERSON,1
matron,PERSON,1
me.—Enough,PERSON,1
med’cines,PERSON,1
merriments,PERSON,1
merry,PERSON,2
mistemper’d,PERSON,1
monsieur,PERSON,1
moon,PERSON,1
mov’d,PERSON,1
mummy,PERSON,1
nam’d,PERSON,1
neeze,PERSON,1
niece,PERSON,6
nonny,PERSON,2
nosegays,PERSON,1
now?—well,PERSON,1
number’d,PERSON,1
nymph,PERSON,2
oes,PERSON,1
off’rings,PERSON,1
overbold,PERSON,1
paragon,PERSON,1
pilgrim,PERSON,1
purchaseth,PERSON,1
rebuk’d,PERSON,1
roar’d,PERSON,1
roof’d,PERSON,1
rooky,PERSON,1
rushy brook,PERSON,1
saint,PERSON,1
saluteth,PERSON,1
senna,PERSON,1
"shortened,—for",PERSON,1
silenc’d,PERSON,1
sirrah,PERSON,2
sun,PERSON,1
temp’rance,PERSON,1
thine,PERSON,1
thou,PERSON,1
troths,PERSON,1
unaccustom’d,PERSON,1
unhallow’d,PERSON,1
utterance!—Who,PERSON,1
varlet,PERSON,1
was’t,PERSON,2
were’t,PERSON,1
wither’d,PERSON,2
wolf,PERSON,2
nine-men’s,QUANTITY,1
ten mile,QUANTITY,1
three-foot,QUANTITY,1
Abram,ROLE,1
Acquaint,ROLE,2
Adder,ROLE,1
Advise,ROLE,1
Affliction,ROLE,1
Am,ROLE,4
Amen,ROLE,4
Antipodes,ROLE,2
Asleep,ROLE,1
Ate,ROLE,1
Athenian,ROLE,12
Attendant,ROLE,1
Attendants,ROLE,14
Away,ROLE,1
Ay,ROLE,8
Beats,ROLE,1
Beauty,ROLE,1
Being,ROLE,13
Beteem,ROLE,1
Black,ROLE,1
Blind,ROLE,1
Blister’d,ROLE,1
Bottom,ROLE,1
Boy,ROLE,2
Brother,ROLE,3
By’r,ROLE,1
By’r Lady,ROLE,1
Call’d,ROLE,1
Cancel,ROLE,1
Canker’d,ROLE,1
Canst,ROLE,1
Capels,ROLE,1
Captain,ROLE,1
Capulets,ROLE,5
Carthage,ROLE,1
Cats,ROLE,1
Cawdor,ROLE,18
Certain,ROLE,1
Child,ROLE,1
Christendom,ROLE,1
Christian,ROLE,2
Churchyard,ROLE,1
Citizens,ROLE,1
Clamour’d,ROLE,1
Cobweb,ROLE,1
Come,ROLE,9
Comfort,ROLE,1
Confounds,ROLE,1
Consent,ROLE,1
Count,ROLE,7
Cry,ROLE,1
Deformed,ROLE,1
Devil,ROLE,1
Devilish,ROLE,1
Devotion,ROLE,1
Direct,ROLE,1
Disdain,ROLE,2
Disloyal,ROLE,1
Dispatch,ROLE,1
Doctor,ROLE,2
Doth,ROLE,1
Doubly,ROLE,1
Down,ROLE,3
Dream,ROLE,1
Drums,ROLE,1
Duchess,ROLE,2
Duke,ROLE,6
Dutchman,ROLE,1
Earth-,ROLE,1
English,ROLE,6
Enter,ROLE,3
Enter Chorus,ROLE,1
Europa,ROLE,1
Examine,ROLE,1
Exeunt,ROLE,76
Exit,ROLE,20
Eye,ROLE,1
Eyes,ROLE,2
FIRST CITIZEN,ROLE,3
FIRST FAIRY,ROLE,2
FIRST MURDERER,ROLE,15
FIRST MUSICIAN,ROLE,10
FIRST SERVANT,ROLE,4
FIRST WATCH,ROLE,12
FIRST WITCH,ROLE,23
FLUTE,ROLE,5
FRIAR,ROLE,1
FRIAR LAWRENCE,ROLE,40
Fair,ROLE,2
Fairies,ROLE,1
Fairy,ROLE,1
Famine,ROLE,1
Fate,ROLE,1
Fates,ROLE,1
Father,ROLE,2
Fears,ROLE,1
Feather,ROLE,1
Fillet,ROLE,1
Finger,ROLE,1
First rehearse,ROLE,1
"First,",ROLE,6
Flute,ROLE,1
